,Correlation
tta_TRIX_timeperiod_42,0.087229
tta_ROCR100_timeperiod_54,0.084775
tta_TRIX_timeperiod_13,0.084704
tta_PPO_fastperiod_42_slowperiod_34,0.081262
tta_DX_timeperiod_56,0.077457
tta_ADX_timeperiod_34,0.075987
tta_MINUS_DI_timeperiod_39,0.066594
tta_ULTOSC_timeperiod1_57_timeperiod2_58_timeperiod3_58,0.050434
tta_MFI_timeperiod_33,0.048693
tta_AROON_timeperiod_43,0.040964
tta_PLUS_DI_timeperiod_47,0.039447
tta_ULTOSC_timeperiod1_29_timeperiod2_29_timeperiod3_30,0.0383
tta_AROONOSC_timeperiod_28,0.036971
tta_STOCHF_fastk_period_58_fastd_period_59,0.034577
tta_PLUS_DM_timeperiod_58,0.033069
tta_WILLR_timeperiod_28,0.030892
tta_STOCHRSI_timeperiod_59_fastk_period_58_fastd_period_52,0.024523
tta_MACDEXT_fastperiod_41_slowperiod_39_signalperiod_58,0.023648
tta_MACD_fastperiod_45_slowperiod_54_signalperiod_34,0.023128
tta_MACDEXT_fastperiod_22_slowperiod_20_signalperiod_30,0.021951
tta_AROON_timeperiod_21,0.02189
tta_BOP,0.021065
tta_STOCHRSI_timeperiod_28_fastk_period_4_fastd_period_28,0.019352
