,Correlation
tta_ROCR100_timeperiod_36,0.106937
tta_ROCR100_timeperiod_26,0.103052
tta_TRIX_timeperiod_21,0.101274
tta_PPO_fastperiod_40_slowperiod_33,0.099789
tta_TRIX_timeperiod_35,0.099114
tta_PPO_fastperiod_29_slowperiod_28,0.098959
tta_DX_timeperiod_57,0.098544
tta_ADX_timeperiod_27,0.090595
tta_CMO_timeperiod_58,0.085729
tta_ADX_timeperiod_44,0.084495
tta_DX_timeperiod_28,0.083465
tta_ULTOSC_timeperiod1_58_timeperiod2_58_timeperiod3_59,0.067957
tta_AROONOSC_timeperiod_55,0.062426
tta_AROON_timeperiod_54,0.060708
tta_STOCH_fastk_period_23_slowk_period_29_slowd_period_6,0.060243
tta_MFI_timeperiod_47,0.060005
tta_PLUS_DI_timeperiod_51,0.058038
tta_WILLR_timeperiod_58,0.05404
tta_AROONOSC_timeperiod_27,0.051678
tta_ULTOSC_timeperiod1_29_timeperiod2_28_timeperiod3_29,0.049879
tta_STOCHF_fastk_period_29_fastd_period_7,0.04303
tta_MFI_timeperiod_16,0.036956
tta_STOCHRSI_timeperiod_59_fastk_period_59_fastd_period_51,0.036025
tta_AROON_timeperiod_20,0.035047
tta_STOCHRSI_timeperiod_29_fastk_period_4_fastd_period_18,0.034694
tta_PLUS_DM_timeperiod_58,0.033279
tta_BOP,0.030841
tta_MACDEXT_fastperiod_57_slowperiod_55_signalperiod_58,0.024514
tta_APO_fastperiod_41_slowperiod_43,0.023903
tta_MACD_fastperiod_40_slowperiod_34_signalperiod_55,0.02354
tta_MACDEXT_fastperiod_27_slowperiod_28_signalperiod_22,0.022808
tta_MACDFIX_signalperiod_40,0.022581
